contig_name	prediction	prediction_score	full_path						
ICTVTaxoChallenge_886233	Geminiviridae	1	r;Monodnaviria	k;Shotokuvirae	p;Cressdnaviricota	c;Repensiviricetes	o;Geplafuvirales	f;Geminiviridae	
ICTVTaxoChallenge_741817	Autographiviridae	1	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	f;Autographiviridae		
ICTVTaxoChallenge_763566	Chimalliviridae	1	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	f;Chimalliviridae		
ICTVTaxoChallenge_5526	Schitoviridae	1	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	f;Schitoviridae		
ICTVTaxoChallenge_13245	Kutznervirinae	1	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	sf;Kutznervirinae		
ICTVTaxoChallenge_15650	Geminiviridae_like	0.059497137	r;Monodnaviria	k;Shotokuvirae	p;Cressdnaviricota	c;Repensiviricetes	o;Geplafuvirales	f;Geminiviridae_like	
ICTVTaxoChallenge_993832	Aliusviridae	1	r;Riboviria	k;Orthornavirae	p;Negarnaviricota	sp;Haploviricotina	c;Monjiviricetes	o;Jingchuvirales	f;Aliusviridae
ICTVTaxoChallenge_535708	Fiersviridae	1	r;Riboviria	k;Orthornavirae	p;Lenarviricota	c;Leviviricetes	o;Norzivirales	f;Fiersviridae	
ICTVTaxoChallenge_125199	Kyanoviridae	1	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	f;Kyanoviridae		
ICTVTaxoChallenge_958226	Straboviridae	1	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	f;Straboviridae		
ICTVTaxoChallenge_720712	Guarnerosvirinae	1	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	sf;Guarnerosvirinae		
ICTVTaxoChallenge_11716	Steitzviridae	1	r;Riboviria	k;Orthornavirae	p;Lenarviricota	c;Leviviricetes	o;Timlovirales	f;Steitzviridae	
ICTVTaxoChallenge_774872	Picornaviridae_like	0.43422997	r;Riboviria	k;Orthornavirae	p;Pisuviricota	c;Pisoniviricetes	o;Picornavirales	f;Picornaviridae_like	
ICTVTaxoChallenge_103095	Nymbaxtervirinae	0.28119227	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	sf;Nymbaxtervirinae		
ICTVTaxoChallenge_877911	Gordonvirus	0.3248866	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	g;Gordonvirus		
ICTVTaxoChallenge_304596	Nyamiviridae	1	r;Riboviria	k;Orthornavirae	p;Negarnaviricota	sp;Haploviricotina	c;Monjiviricetes	o;Mononegavirales	f;Nyamiviridae
ICTVTaxoChallenge_760638	Papillomaviridae	1	r;Monodnaviria	k;Shotokuvirae	p;Cossaviricota	c;Papovaviricetes	o;Zurhausenvirales	f;Papillomaviridae	
ICTVTaxoChallenge_197926	Orthoherpesviridae	1	r;Duplodnaviria	k;Heunggongvirae	p;Peploviricota	c;Herviviricetes	o;Herpesvirales	f;Orthoherpesviridae	
ICTVTaxoChallenge_25396	Pahexavirus	1	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	g;Pahexavirus		
ICTVTaxoChallenge_312310	Papillomaviridae	1	r;Monodnaviria	k;Shotokuvirae	p;Cossaviricota	c;Papovaviricetes	o;Zurhausenvirales	f;Papillomaviridae	
ICTVTaxoChallenge_257064	Fernvirus	1	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	g;Fernvirus		
ICTVTaxoChallenge_827467	Skunavirus	1	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	g;Skunavirus		
ICTVTaxoChallenge_583352	Papillomaviridae	1	r;Monodnaviria	k;Shotokuvirae	p;Cossaviricota	c;Papovaviricetes	o;Zurhausenvirales	f;Papillomaviridae	
ICTVTaxoChallenge_742501	Bclasvirinae	1	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	sf;Bclasvirinae		
ICTVTaxoChallenge_251965	Nymbaxtervirinae_like	0.22322105	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	sf;Nymbaxtervirinae_like		
ICTVTaxoChallenge_645802	Mimiviridae	0.7836285	r;Varidnaviria	k;Bamfordvirae	p;Nucleocytoviricota	c;Megaviricetes	o;Imitervirales	f;Mimiviridae	
ICTVTaxoChallenge_325346	Benedictvirus_like	0.114488184	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	g;Benedictvirus_like		
ICTVTaxoChallenge_674952	Closteroviridae	1	r;Riboviria	k;Orthornavirae	p;Kitrinoviricota	c;Alsuviricetes	o;Martellivirales	f;Closteroviridae	
ICTVTaxoChallenge_686851	Autographiviridae	1	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	f;Autographiviridae		
ICTVTaxoChallenge_914053	Stanwilliamsviridae	1	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	f;Stanwilliamsviridae		
ICTVTaxoChallenge_857340	Aliceevansviridae	1	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	f;Aliceevansviridae		
ICTVTaxoChallenge_698097	Pclasvirinae	0.417704	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	sf;Pclasvirinae		
ICTVTaxoChallenge_604709	Paramyxoviridae	1	r;Riboviria	k;Orthornavirae	p;Negarnaviricota	sp;Haploviricotina	c;Monjiviricetes	o;Mononegavirales	f;Paramyxoviridae
ICTVTaxoChallenge_943295	Kyanoviridae	0.5766675	r;Duplodnaviria	k;Heunggongvirae	p;Uroviricota	c;Caudoviricetes	f;Kyanoviridae		
