contig_name,prediction,prediction_score
ICTVTaxoChallenge_886233,Geminiviridae,1
ICTVTaxoChallenge_741817,Autographiviridae,1
ICTVTaxoChallenge_763566,Chimalliviridae,1
ICTVTaxoChallenge_5526,Schitoviridae,1
ICTVTaxoChallenge_13245,Kutznervirinae,1
ICTVTaxoChallenge_15650,Geminiviridae,0.059497137
ICTVTaxoChallenge_993832,Aliusviridae,1
ICTVTaxoChallenge_535708,Fiersviridae,1
ICTVTaxoChallenge_125199,Kyanoviridae,1
ICTVTaxoChallenge_958226,Straboviridae,1
ICTVTaxoChallenge_720712,Guarnerosvirinae,1
ICTVTaxoChallenge_11716,Steitzviridae,1
ICTVTaxoChallenge_774872,Picornaviridae,0.43422997
ICTVTaxoChallenge_103095,Nymbaxtervirinae,0.28119227
ICTVTaxoChallenge_877911,Gordonvirus,0.3248866
ICTVTaxoChallenge_304596,Nyamiviridae,1
ICTVTaxoChallenge_760638,Papillomaviridae,1
ICTVTaxoChallenge_197926,Orthoherpesviridae,1
ICTVTaxoChallenge_25396,Pahexavirus,1
ICTVTaxoChallenge_312310,Papillomaviridae,1
ICTVTaxoChallenge_257064,Fernvirus,1
ICTVTaxoChallenge_827467,Skunavirus,1
ICTVTaxoChallenge_583352,Papillomaviridae,1
ICTVTaxoChallenge_742501,Bclasvirinae,1
ICTVTaxoChallenge_251965,Nymbaxtervirinae,0.22322105
ICTVTaxoChallenge_645802,Mimiviridae,0.7836285
ICTVTaxoChallenge_325346,Benedictvirus,0.114488184
ICTVTaxoChallenge_674952,Closteroviridae,1
ICTVTaxoChallenge_686851,Autographiviridae,1
ICTVTaxoChallenge_914053,Stanwilliamsviridae,1
ICTVTaxoChallenge_857340,Aliceevansviridae,1
ICTVTaxoChallenge_698097,Pclasvirinae,0.417704
ICTVTaxoChallenge_604709,Paramyxoviridae,1
ICTVTaxoChallenge_943295,Kyanoviridae,0.5766675
ICTVTaxoChallenge_400706,Aliceevansviridae,0.30373457
ICTVTaxoChallenge_10824,Smacoviridae,1
ICTVTaxoChallenge_53285,Kutznervirinae,0.27420425
ICTVTaxoChallenge_883101,Smacoviridae,1
ICTVTaxoChallenge_622168,Adenoviridae,1
ICTVTaxoChallenge_591911,Polyomaviridae,1
ICTVTaxoChallenge_481066,Schitoviridae,1
ICTVTaxoChallenge_405506,Gracegardnervirinae,1
ICTVTaxoChallenge_102197,Rudiviridae,1
ICTVTaxoChallenge_113390,Baculoviridae,1
ICTVTaxoChallenge_250878,Genomoviridae,0.8420824
ICTVTaxoChallenge_906585,Nclasvirinae,1
ICTVTaxoChallenge_5616,Ounavirinae,1
ICTVTaxoChallenge_877694,Papillomaviridae,1
ICTVTaxoChallenge_366855,Straboviridae,1
ICTVTaxoChallenge_787105,Gracegardnervirinae,1
ICTVTaxoChallenge_978388,Autographiviridae,1
ICTVTaxoChallenge_656383,Papillomaviridae,1
ICTVTaxoChallenge_240130,Skunavirus,0.6313595
ICTVTaxoChallenge_806285,Orthoherpesviridae,1
ICTVTaxoChallenge_150636,Kyanoviridae,1
ICTVTaxoChallenge_199346,Peduoviridae,1
ICTVTaxoChallenge_480826,Betaflexiviridae,1
ICTVTaxoChallenge_477778,Circoviridae,1
ICTVTaxoChallenge_575881,Caulimoviridae,1
ICTVTaxoChallenge_764060,Pahexavirus,1
ICTVTaxoChallenge_286239,Geminiviridae,1
ICTVTaxoChallenge_666665,Drexlerviridae,1
ICTVTaxoChallenge_230258,Pbunavirus,1
ICTVTaxoChallenge_767875,Autographiviridae,1
ICTVTaxoChallenge_397618,Demerecviridae,1
ICTVTaxoChallenge_638425,Queuovirinae,0.27069643
ICTVTaxoChallenge_230372,Vilyaviridae,1
ICTVTaxoChallenge_784548,Caulimoviridae,0.21445443
ICTVTaxoChallenge_550391,Geminiviridae,1
ICTVTaxoChallenge_975450,Schitoviridae,1
ICTVTaxoChallenge_898797,Geminiviridae,1
ICTVTaxoChallenge_233812,Geminiviridae,1
ICTVTaxoChallenge_218119,Guarnerosvirinae,0.07487359
ICTVTaxoChallenge_386502,Mymonaviridae,1
ICTVTaxoChallenge_673800,Tospoviridae,1
ICTVTaxoChallenge_852075,Kyanoviridae,1
ICTVTaxoChallenge_915679,Weiservirinae,1
ICTVTaxoChallenge_822370,Tombusviridae,1
ICTVTaxoChallenge_187928,Queuovirinae,1
ICTVTaxoChallenge_895077,Weiservirinae,1
ICTVTaxoChallenge_708258,Eucampyvirinae,1
ICTVTaxoChallenge_574704,Autographiviridae,1
ICTVTaxoChallenge_754770,Skunavirus,1
ICTVTaxoChallenge_40126,Papillomaviridae,1
ICTVTaxoChallenge_490094,Lispiviridae,1
ICTVTaxoChallenge_452076,Azeredovirinae,0.32257566
ICTVTaxoChallenge_336363,Geminiviridae,0.501071
ICTVTaxoChallenge_410009,Adenoviridae,1
ICTVTaxoChallenge_229075,Alexandravirus,1
ICTVTaxoChallenge_561424,Straboviridae,1
ICTVTaxoChallenge_57329,Lipothrixviridae,1
ICTVTaxoChallenge_156853,Togaviridae,1
ICTVTaxoChallenge_469467,Dicistroviridae,1
ICTVTaxoChallenge_868171,Anelloviridae,1
ICTVTaxoChallenge_785167,Rhabdoviridae,1
ICTVTaxoChallenge_833435,Nyamiviridae,1
ICTVTaxoChallenge_251912,Gordonvirus,0.37684536
ICTVTaxoChallenge_90762,Autographiviridae,1
ICTVTaxoChallenge_533168,Straboviridae,1
ICTVTaxoChallenge_730,Aliceevansviridae,1
ICTVTaxoChallenge_487439,Steitzviridae,0.34754777
ICTVTaxoChallenge_699131,Ceeclamvirinae,1
ICTVTaxoChallenge_583276,Straboviridae,1
ICTVTaxoChallenge_185090,Bclasvirinae,1
ICTVTaxoChallenge_627509,Adenoviridae,1
ICTVTaxoChallenge_902919,Kyanoviridae,1
ICTVTaxoChallenge_700947,Orthoherpesviridae,1
ICTVTaxoChallenge_282022,Geminiviridae,1
ICTVTaxoChallenge_115479,Autographiviridae,1
ICTVTaxoChallenge_112089,Skunavirus,1
ICTVTaxoChallenge_246783,Montyvirus,1
ICTVTaxoChallenge_277886,Vilmaviridae,1
ICTVTaxoChallenge_372757,Drexlerviridae,1
ICTVTaxoChallenge_681544,Wbetavirus,1
ICTVTaxoChallenge_881187,Caulimoviridae,0.084442645
ICTVTaxoChallenge_510582,Stephanstirmvirinae,1
ICTVTaxoChallenge_785089,Straboviridae,1
ICTVTaxoChallenge_14849,Straboviridae,1
ICTVTaxoChallenge_312260,Gordonclarkvirinae,0.5267094
ICTVTaxoChallenge_90562,Aliceevansviridae,1
ICTVTaxoChallenge_12974,Iridoviridae,1
ICTVTaxoChallenge_989629,Kyanoviridae,1
ICTVTaxoChallenge_126509,Rhabdoviridae,1
ICTVTaxoChallenge_515128,Skunavirus,1
ICTVTaxoChallenge_639555,Peduoviridae,0.9585563
ICTVTaxoChallenge_85071,Circoviridae,1
ICTVTaxoChallenge_467263,Lispiviridae,1
ICTVTaxoChallenge_827183,Benedictvirus,0.22915089
ICTVTaxoChallenge_474824,Kutznervirinae,1
ICTVTaxoChallenge_771825,Phycodnaviridae,1
ICTVTaxoChallenge_363769,Peduoviridae,0.18341467
ICTVTaxoChallenge_214550,Geminiviridae,0.501071
ICTVTaxoChallenge_687569,Gclasvirinae,1
ICTVTaxoChallenge_69096,Fusariviridae,1
ICTVTaxoChallenge_509314,Vequintavirinae,1
ICTVTaxoChallenge_956403,Paramyxoviridae,1
ICTVTaxoChallenge_713435,Gracegardnervirinae,1
ICTVTaxoChallenge_269116,Autographiviridae,1
ICTVTaxoChallenge_839846,Triavirus,1
ICTVTaxoChallenge_577901,Schitoviridae,1
ICTVTaxoChallenge_775835,Geminiviridae,1
ICTVTaxoChallenge_171034,Pclasvirinae,0.4944965
ICTVTaxoChallenge_817003,Polycipiviridae,1
ICTVTaxoChallenge_982652,Zobellviridae,1
ICTVTaxoChallenge_7477,Orthoherpesviridae,1
ICTVTaxoChallenge_420014,Paramyxoviridae,1
ICTVTaxoChallenge_239864,Gordonvirus,0.3427484
ICTVTaxoChallenge_478433,Rountreeviridae,1
ICTVTaxoChallenge_298472,Atkinsviridae,1
ICTVTaxoChallenge_811258,Straboviridae,1
ICTVTaxoChallenge_481562,Orthoherpesviridae,1
ICTVTaxoChallenge_136157,Lispiviridae,1
ICTVTaxoChallenge_356272,Astroviridae,1
ICTVTaxoChallenge_85785,Adenoviridae,0.082114704
ICTVTaxoChallenge_987306,Casadabanvirus,1
ICTVTaxoChallenge_217448,Geminiviridae,1
ICTVTaxoChallenge_454980,Steitzviridae,1
ICTVTaxoChallenge_880977,Iridoviridae,1
ICTVTaxoChallenge_445740,Autographiviridae,1
ICTVTaxoChallenge_976616,Steitzviridae,1
ICTVTaxoChallenge_88387,Bornaviridae,1
ICTVTaxoChallenge_740966,Adenoviridae,1
ICTVTaxoChallenge_872710,Steitzviridae,1
ICTVTaxoChallenge_468946,Suoliviridae,0.12640561
ICTVTaxoChallenge_426461,Bclasvirinae,1
ICTVTaxoChallenge_464672,Drexlerviridae,1
ICTVTaxoChallenge_347517,Adenoviridae,1
ICTVTaxoChallenge_375898,Papillomaviridae,0.7879449
ICTVTaxoChallenge_361141,Wizardvirus,0.28327075
ICTVTaxoChallenge_261242,Arteriviridae,0.06222575
ICTVTaxoChallenge_205003,Vilmaviridae,1
ICTVTaxoChallenge_769948,Inseviridae,0.18003438
ICTVTaxoChallenge_443345,Anelloviridae,1
ICTVTaxoChallenge_386378,Fiersviridae,1
ICTVTaxoChallenge_158272,Botourmiaviridae,1
ICTVTaxoChallenge_977530,Autographiviridae,1
ICTVTaxoChallenge_604661,Herelleviridae,1
ICTVTaxoChallenge_138674,Geminiviridae,1
ICTVTaxoChallenge_627017,Steigviridae,1
ICTVTaxoChallenge_978113,Adenoviridae,1
ICTVTaxoChallenge_276635,Paramyxoviridae,1
ICTVTaxoChallenge_203475,Orthoherpesviridae,1
ICTVTaxoChallenge_322222,Joanripponvirinae,0.8809363
ICTVTaxoChallenge_816486,Autographiviridae,1
ICTVTaxoChallenge_488073,Pseudoviridae,1
ICTVTaxoChallenge_959596,Skurskavirinae,1
ICTVTaxoChallenge_119336,Backyardiganvirus,0.23575352
ICTVTaxoChallenge_554591,Autographiviridae,0.32724828
ICTVTaxoChallenge_987748,Fiersviridae,1
ICTVTaxoChallenge_315563,Zierdtviridae,1
ICTVTaxoChallenge_933193,Suoliviridae,0.5532229
ICTVTaxoChallenge_869316,Mymonaviridae,1
ICTVTaxoChallenge_697067,Betaflexiviridae,1
ICTVTaxoChallenge_200351,Betaflexiviridae,1
ICTVTaxoChallenge_133800,Gracegardnervirinae,1
ICTVTaxoChallenge_197246,Pbunavirus,0.087652355
ICTVTaxoChallenge_311168,Fiersviridae,1
ICTVTaxoChallenge_383267,Rudiviridae,1
ICTVTaxoChallenge_651052,Peduoviridae,1
ICTVTaxoChallenge_489497,Mimiviridae,0.3098581
ICTVTaxoChallenge_697738,Genomoviridae,0.28437537
ICTVTaxoChallenge_401959,Stanwilliamsviridae,1
ICTVTaxoChallenge_15128,Gracegardnervirinae,1
ICTVTaxoChallenge_854463,Steigviridae,1
ICTVTaxoChallenge_87122,Lispiviridae,1
ICTVTaxoChallenge_457990,Autographiviridae,1
ICTVTaxoChallenge_49078,Autographiviridae,1
ICTVTaxoChallenge_165308,Redondoviridae,1
ICTVTaxoChallenge_125179,Straboviridae,1
ICTVTaxoChallenge_849855,Orthoherpesviridae,1
ICTVTaxoChallenge_758561,Rhabdoviridae,1
ICTVTaxoChallenge_248674,Iridoviridae,1
